3.437499681343333946e-01,4.343806399370460647e-01,2.218693919286206795e-01
3.642138369573170720e-01,4.266960623439917666e-01,2.090901006986911059e-01
7.837551338495667430e-01,1.797924270376818345e-01,3.645243911275126980e-02
9.441413257302844197e-01,4.773587331565340430e-02,8.122800954062044110e-03
4.710548460383468528e-01,3.825494783554543310e-01,1.463956756061988718e-01
5.488614552213353370e-01,3.417313559951260515e-01,1.094071887835387641e-01
8.772518922043448519e-01,1.039682916243326594e-01,1.877981617132249564e-02
9.570008747049288944e-01,3.679180575389078695e-02,6.207319541180270073e-03
4.981649515354752977e-01,3.694863489281524083e-01,1.323486995363726548e-01
7.388218701208598693e-01,2.145799028521442331e-01,4.659822702699579350e-02
7.604442845432276554e-01,1.980105917432488649e-01,4.154512371352368783e-02
7.562334163706652124e-01,2.067462264294414875e-01,3.702035719989354295e-02
2.621633595786153001e-02,4.256017403212369321e-01,5.481819237209014650e-01
2.402665715925450182e-02,5.705626899409047686e-02,9.189170738466554411e-01
2.334338783335798695e-01,3.320901038862338894e-01,4.344760177801861856e-01
9.832114798481609760e-07,8.723174270461184052e-07,9.999981444710931422e-01
9.642843460110753218e-03,2.674753036568312814e-02,9.636096261742058688e-01
1.593109912623544566e-01,2.437179189530717383e-01,5.969710897845738051e-01
8.957485619264855163e-08,8.081500858355675996e-08,9.999998296101352269e-01
4.777711821583994871e-03,8.702647064104676589e-02,9.081958175373692210e-01
7.685460517383230737e-03,9.910478843072739741e-01,1.266655175342707579e-03
5.713087023348979443e-01,3.297143194853586201e-01,9.897697817974308865e-02
3.152724719305279311e-01,5.461646703682564441e-01,1.385628577012154583e-01
6.005531232334881953e-02,9.240535493296709868e-01,1.589113834698016592e-02
1.505646009586538055e-02,9.819214904668914778e-01,3.022049437242997193e-03
7.563961153672928150e-02,9.026536806455632833e-01,2.170670781770742824e-02
4.805565695488541594e-02,9.399457785619312888e-01,1.199856448318328134e-02
4.174313385006375721e-02,9.482155533542722115e-01,1.004131279566378675e-02
9.995091222660644759e-01,4.819341236162602918e-04,8.943610319420380829e-06
9.947010837755395629e-01,5.248127727541389113e-03,5.078849691902517674e-05
